CMDLINE /Users/cconlon/anaconda3/bin/python3.7 2_Process_WRDS_Data.py
MEM 28633.257812 1593110565.2489
MEM 28633.257812 1593110565.3502
MEM 28633.257812 1593110565.4554
MEM 28633.257812 1593110565.5598
MEM 28633.257812 1593110565.6650
MEM 28669.765625 1593110565.7661
MEM 28673.382812 1593110565.8677
MEM 28660.777344 1593110565.9689
MEM 28660.812500 1593110566.0701
MEM 28665.304688 1593110566.1714
MEM 28665.332031 1593110566.2726
MEM 28665.714844 1593110566.3739
MEM 28660.058594 1593110566.4791
MEM 28660.371094 1593110566.5823
MEM 28661.417969 1593110566.6875
MEM 28661.417969 1593110566.7889
MEM 28681.125000 1593110566.8892
MEM 28658.878906 1593110566.9927
MEM 28658.906250 1593110567.0936
MEM 28658.906250 1593110567.1952
MEM 28658.906250 1593110567.2964
MEM 28658.781250 1593110567.3977
MEM 28658.816406 1593110567.4990
MEM 28658.816406 1593110567.5998
MEM 28658.816406 1593110567.7015
MEM 28658.816406 1593110567.8028
MEM 28658.816406 1593110567.9039
MEM 28658.816406 1593110568.0053
MEM 28658.816406 1593110568.1065
MEM 28658.816406 1593110568.2079
MEM 28658.800781 1593110568.3089
MEM 28658.816406 1593110568.4103
MEM 28658.816406 1593110568.5115
MEM 28658.816406 1593110568.6127
MEM 28658.816406 1593110568.7141
MEM 28658.816406 1593110568.8158
MEM 28658.816406 1593110568.9164
MEM 28658.816406 1593110569.0166
MEM 28658.816406 1593110569.1189
MEM 28658.816406 1593110569.2205
MEM 28657.847656 1593110569.3214
MEM 28658.812500 1593110569.4227
MEM 28658.816406 1593110569.5243
MEM 28658.816406 1593110569.6254
MEM 28658.816406 1593110569.7264
MEM 28658.816406 1593110569.8269
MEM 28658.816406 1593110569.9317
MEM 28658.816406 1593110570.0344
MEM 28658.570312 1593110570.1385
MEM 28658.605469 1593110570.2437
MEM 28658.675781 1593110570.3453
MEM 28658.710938 1593110570.4458
MEM 28658.746094 1593110570.5467
MEM 28658.746094 1593110570.6489
MEM 28658.746094 1593110570.7535
MEM 28658.746094 1593110570.8587
MEM 28658.761719 1593110570.9615
MEM 28658.761719 1593110571.0640
MEM 28658.761719 1593110571.1663
MEM 28658.765625 1593110571.2690
MEM 28658.765625 1593110571.3695
MEM 28658.765625 1593110571.4703
MEM 28658.765625 1593110571.5720
MEM 28658.765625 1593110571.6728
MEM 28658.773438 1593110571.7740
MEM 28658.773438 1593110571.8761
MEM 28658.777344 1593110571.9804
MEM 28658.781250 1593110572.0855
MEM 28658.781250 1593110572.1863
MEM 28658.785156 1593110572.2915
MEM 28658.785156 1593110572.3942
MEM 28658.785156 1593110572.4957
MEM 28658.796875 1593110572.5961
MEM 28658.796875 1593110572.6965
MEM 28658.796875 1593110572.7977
MEM 28658.796875 1593110572.8990
MEM 28658.796875 1593110573.0003
MEM 28658.625000 1593110573.1048
MEM 28658.796875 1593110573.2093
MEM 28658.796875 1593110573.3112
MEM 28658.796875 1593110573.4119
MEM 28658.796875 1593110573.5124
MEM 28658.796875 1593110573.6140
MEM 28658.796875 1593110573.7142
MEM 28658.796875 1593110573.8145
MEM 28658.796875 1593110573.9197
MEM 28658.796875 1593110574.0216
MEM 28658.796875 1593110574.1253
MEM 28658.796875 1593110574.2265
MEM 28658.796875 1593110574.3278
MEM 28658.796875 1593110574.4290
MEM 28658.796875 1593110574.5303
MEM 28658.796875 1593110574.6332
MEM 28658.796875 1593110574.7374
MEM 28658.796875 1593110574.8419
MEM 28658.796875 1593110574.9431
MEM 28658.796875 1593110575.0465
MEM 28658.796875 1593110575.1492
MEM 28658.792969 1593110575.2503
MEM 28658.796875 1593110575.3516
MEM 28658.796875 1593110575.4527
MEM 28658.796875 1593110575.5542
MEM 28658.796875 1593110575.6544
MEM 28658.796875 1593110575.7550
MEM 28658.796875 1593110575.8602
MEM 28658.796875 1593110575.9607
MEM 28658.796875 1593110576.0609
MEM 28658.796875 1593110576.1615
MEM 28658.796875 1593110576.2628
MEM 28658.796875 1593110576.3641
MEM 28658.796875 1593110576.4684
MEM 28658.796875 1593110576.5720
MEM 28658.796875 1593110576.6770
MEM 28658.796875 1593110576.7773
MEM 28658.796875 1593110576.8776
MEM 28658.796875 1593110576.9828
MEM 28658.796875 1593110577.0840
MEM 28658.796875 1593110577.1853
MEM 28658.796875 1593110577.2866
MEM 28658.796875 1593110577.3878
MEM 28658.792969 1593110577.4879
MEM 28658.796875 1593110577.5890
MEM 28658.796875 1593110577.6928
MEM 28658.796875 1593110577.7930
MEM 28658.796875 1593110577.8955
MEM 28658.796875 1593110578.0007
MEM 28658.796875 1593110578.1059
MEM 28658.792969 1593110578.2091
MEM 28658.796875 1593110578.3143
MEM 28658.796875 1593110578.4195
MEM 28658.796875 1593110578.5203
MEM 28658.796875 1593110578.6241
MEM 28658.800781 1593110578.7266
MEM 28658.800781 1593110578.8268
MEM 28658.800781 1593110578.9280
MEM 28658.800781 1593110579.0303
MEM 28658.800781 1593110579.1308
MEM 28658.800781 1593110579.2320
MEM 28658.542969 1593110579.3341
MEM 28658.156250 1593110579.4354
MEM 28658.660156 1593110579.5399
MEM 28658.710938 1593110579.6451
MEM 28658.746094 1593110579.7477
MEM 28658.765625 1593110579.8524
MEM 28658.804688 1593110579.9566
MEM 28658.804688 1593110580.0570
